date,time,0x0001,0x0002,0x0003,0x0004,0x0005,0x0006,0x0012,0x0013,0x0014,0x0015,0x0016,x_axis,y_axis,z_axis,orientation,reference_points,Messurement_points
2020-07-24, 15:13:04,-79,-79,-79.0,-79.0,-79.0,-63,-66.0,-73,-72.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:05,-79,-79,-79.0,-79.0,-79.0,-63,-66.0,-73,-72.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:06,-79,-79,-79.0,-79.0,-79.0,-63,-66.0,-73,-72.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:07,-79,-79,-79.0,-79.0,-79.0,-67,-66.0,-79,-72.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:08,-79,-79,-78.0,-79.0,-79.0,-67,-66.0,-79,-72.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:09,-79,-79,-78.0,-79.0,-79.0,-67,-64.0,-79,-72.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:10,-79,-79,-78.0,-79.0,-79.0,-67,-64.0,-79,-74.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:11,-79,-79,-77.0,-79.0,-79.0,-67,-64.0,-74,-74.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:12,-79,-79,-77.0,-79.0,-79.0,-67,-63.0,-74,-74.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:13,-79,-79,-79.0,-79.0,-79.0,-68,-63.0,-74,-78.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:14,-79,-79,-79.0,-79.0,-79.0,-68,-63.0,-79,-78.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:15,-79,-79,-79.0,-79.0,-79.0,-68,-71.0,-79,-78.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:16,-79,-79,-79.0,-79.0,-79.0,-68,-71.0,-79,-78.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
2020-07-24, 15:13:17,-79,-79,-79.0,-79.0,-79.0,-69,-71.0,-79,-78.0,-79.0,-79.0,16.5,22.9,0.0,270,RP-8,P-1
