ref_point,mess_point,x_axis,y_axis,z_axis,Block,block_area
RP-1,P-1,6.6,3.3,,A,A J
RP-1,P-2,8.9,3.3,,A,A J
RP-1,P-3,6.6,5.7,,A,A J
RP-1,P-4,8.9,5.7,,A,A J
RP-1,P-5,7.8,4.5,,A,A J
RP-1,P-1,6.6,3.3,,J,A J
RP-1,P-2,8.9,3.3,,J,A J
RP-1,P-3,6.6,5.7,,J,A J
RP-1,P-4,8.9,5.7,,J,A J
RP-1,P-5,7.8,4.5,,J,A J
RP-2,P-1,6.6,10.5,,B,B I
RP-2,P-2,9.3,10.5,,B,B I
RP-2,P-3,6.6,12.9,,B,B I
RP-2,P-4,9.3,12.9,,B,B I
RP-2,P-5,8,11.7,,B,B I
RP-2,P-1,6.6,10.5,,I,B I
RP-2,P-2,9.3,10.5,,I,B I
RP-2,P-3,6.6,12.9,,I,B I
RP-2,P-4,9.3,12.9,,I,B I
RP-2,P-5,8,11.7,,I,B I
RP-3,P-1,6.6,17.7,,C,C H
RP-3,P-2,9.3,17.7,,C,C H
RP-3,P-3,6.6,20.1,,C,C H
RP-3,P-4,9.3,20.1,,C,C H
RP-3,P-5,8,18.9,,C,C H
RP-3,P-1,6.6,17.7,,H,C H
RP-3,P-2,9.3,17.7,,H,C H
RP-3,P-3,6.6,20.1,,H,C H
RP-3,P-4,9.3,20.1,,H,C H
RP-3,P-5,8,18.9,,H,C H
RP-4,P-1,6.6,24.9,,D,D G
RP-4,P-2,9.3,24.9,,D,D G
RP-4,P-3,6.6,27.3,,D,D G
RP-4,P-4,9.3,27.3,,D,D G
RP-4,P-5,8,26.1,,D,D G
RP-4,P-1,6.6,24.9,,G,D G
RP-4,P-2,9.3,24.9,,G,D G
RP-4,P-3,6.6,27.3,,G,D G
RP-4,P-4,9.3,27.3,,G,D G
RP-4,P-5,8,26.1,,G,D G
RP-5,P-1,6.6,32.1,,E,E
RP-5,P-2,9.3,32.1,,E,E
RP-5,P-3,6.6,34.5,,E,E
RP-5,P-4,9.3,34.5,,E,E
RP-5,P-5,8,33.3,,E,E
RP-6,P-1,6.6,39.3,,F,F Q
RP-6,P-2,9.3,39.3,,F,F Q
RP-6,P-3,6.6,41.7,,F,F Q
RP-6,P-4,9.3,41.7,,F,F Q
RP-6,P-5,8,40.5,,F,F Q
RP-6,P-1,6.6,39.3,,Q,F Q
RP-6,P-2,9.3,39.3,,Q,F Q
RP-6,P-3,6.6,41.7,,Q,F Q
RP-6,P-4,9.3,41.7,,Q,F Q
RP-6,P-5,8,40.5,,Q,F Q
RP-7,P-1,14.1,29.6,,P,P
RP-7,P-2,17.1,30.6,,P,P
RP-7,P-3,13.4,32.1,,P,P
RP-7,P-4,16.2,32.8,,P,P
RP-7,P-5,15.2,31.27,,P,P
RP-8,P-1,16.5,22.9,,G,G O
RP-8,P-2,19,23.8,,G,G O
RP-8,P-3,15.6,25,,G,G O
RP-8,P-4,18.2,26.1,,G,G O
RP-8,P-5,17.32,24.45,,G,G O
RP-8,P-1,16.5,22.9,,O,G O
RP-8,P-2,19,23.8,,O,G O
RP-8,P-3,15.6,25,,O,G O
RP-8,P-4,18.2,26.1,,O,G O
RP-8,P-5,17.32,24.45,,O,G O
RP-9,P-1,19,16,,H,H N
RP-9,P-2,21.7,16.9,,H,H N
RP-9,P-3,18.2,18.5,,H,H N
RP-9,P-4,20.7,19,,H,H N
RP-9,P-5,19.9,17.6,,H,H N
RP-9,P-1,19,16,,N,H N
RP-9,P-2,21.7,16.9,,N,H N
RP-9,P-3,18.2,18.5,,N,H N
RP-9,P-4,20.7,19,,N,H N
RP-9,P-5,19.9,17.6,,N,H N
RP-10,P-1,21.2,9.4,,I,I M
RP-10,P-2,24,10.2,,I,I M
RP-10,P-3,20.7,11.6,,I,I M
RP-10,P-4,23.2,12.4,,I,I M
RP-10,P-5,22.27,10.9,,I,I M
RP-10,P-1,21.2,9.4,,M,I M
RP-10,P-2,24,10.2,,M,I M
RP-10,P-3,20.7,11.6,,M,I M
RP-10,P-4,23.2,12.4,,M,I M
RP-10,P-5,22.27,10.9,,M,I M
RP-11,P-1,23.8,2.5,,J,J L
RP-11,P-2,26,3.6,,J,J L
RP-11,P-3,22.7,4.7,,J,J L
RP-11,P-4,25.4,5.8,,J,J L
RP-11,P-5,24.47,4.15,,J,J L
RP-11,P-1,23.8,2.5,,L,J L
RP-11,P-2,26,3.6,,L,J L
RP-11,P-3,22.7,4.7,,L,J L
RP-11,P-4,25.4,5.8,,L,J L
RP-11,P-5,24.47,4.15,,L,J L
